"species_sample","limb_width","limb_length","observer","limb_volume"
"Mus musculus",1.20976784592602,5.69069954355249,"George",6.54123290049893
"Drosophila melanogaster",0.00302731549581041,0.501499435309187,"Flora",3.60973813456458e-06
"Giraffa camelopardalis",37.8198958688522,181.538601774195,"Terry",203938.642913556
"Drosophila melanogaster",0.00309166500769816,0.496196741662913,"Flora",3.72502035731146e-06
"Mus musculus",0.939054709789322,6.37453320349552,"Flora",4.41489174944116
"Drosophila melanogaster",0.00297828831188826,0.506531099665815,"Terry",3.52881971148767e-06
"Mus musculus",0.880722068637399,6.08597630146925,"George",3.70764287639828
"Felis catus",5.78333714149635,20.8516708167033,"Terry",547.756780515891
"Mus musculus",1.00328816154577,5.93685986751304,"Terry",4.69351332216171
"Felis catus",4.6401375780346,23.2759091833202,"George",393.602864269847
"Mus musculus",0.908898664774105,6.39916354556476,"Flora",4.1518726304419
"Bombus pensylvanicus",0.00690189672619516,0.798939363765838,"Flora",2.98910116605582e-05
"Bombus pensylvanicus",0.00677299134563682,0.788810014391505,"Terry",2.84199518830421e-05
"Bombus pensylvanicus",0.00578991090462307,0.829001369537805,"George",2.18267407991079e-05
"Felis catus",5.01262819398548,22.6552971515489,"Flora",447.085545594426
"Bombus pensylvanicus",0.00626713743029854,0.783279414346597,"George",2.41626760237237e-05
"Mus musculus",0.975408375391274,5.60160019213146,"Terry",4.18576604254928
"Giraffa camelopardalis",23.720685562817,185.899832821602,"Flora",82152.9861036503
"Giraffa camelopardalis",32.6727380464853,178.243012720465,"Flora",149442.270469076
"Mus musculus",1.11104871991445,5.79025916991926,"Flora",5.61376322345859
"Giraffa camelopardalis",34.8845960783756,207.147463970432,"Terry",197987.102372679
"Drosophila melanogaster",0.00297674352357373,0.48312126503085,"Flora",3.36224123407484e-06
"Drosophila melanogaster",0.00276843761207409,0.509917273332091,"Flora",3.06943956669586e-06
"Giraffa camelopardalis",40.6421682313565,155.839888622526,"Terry",202172.577950207
"Bombus pensylvanicus",0.00643506290829136,0.805670515164262,"George",2.62031163532674e-05
"Drosophila melanogaster",0.00284918151313646,0.49896459376797,"George",3.18126499203806e-06
"Giraffa camelopardalis",26.3405250841739,184.79867806914,"George",100701.884502256
"Bombus pensylvanicus",0.00683848172799594,0.782812580169929,"George",2.87519337738921e-05
"Mus musculus",0.923240192538481,6.03271906939083,"Terry",4.03861439382244
"Giraffa camelopardalis",24.6670760843772,192.069245013549,"George",91787.3977412455
"Drosophila melanogaster",0.00288940829656625,0.510416187108053,"Flora",3.34681842541566e-06
"Mus musculus",1.00218888106423,5.21802477119503,"Flora",4.11618777055481
"Mus musculus",0.969415993723378,5.50674131980538,"George",4.06447932178349
"Giraffa camelopardalis",32.4960129225463,191.3633852023,"George",158711.678219605
"Mus musculus",0.960822880523825,6.3293281550111,"George",4.58917022871168
"Bombus pensylvanicus",0.00632874283315789,0.797780685374661,"George",2.5096219037057e-05
"Bombus pensylvanicus",0.00644084539365842,0.777690699422195,"Flora",2.53385953164943e-05
"Felis catus",4.87233511151052,20.7972843689364,"George",387.766969884281
"Mus musculus",1.00493243549793,5.99330526299953,"Flora",4.75368070519732
"Mus musculus",1.00183579727002,6.0841011510253,"Terry",4.79600247509273
"Drosophila melanogaster",0.00300391323805552,0.492511809699086,"Terry",3.4904490230873e-06
"Giraffa camelopardalis",32.7304331865577,186.39537142153,"Flora",156829.772168782
"Bombus pensylvanicus",0.00654910432993293,0.789379807916694,"George",2.65913087366528e-05
"Mus musculus",0.956181437781826,6.14848857769914,"Flora",4.41508296585809
"Giraffa camelopardalis",19.568278325062,202.081031194813,"Flora",60774.3978252052
"Felis catus",5.19191481922335,21.0911649429999,"George",446.524781590464
"Bombus pensylvanicus",0.0068113568500403,0.798034879190947,"George",2.90789701790059e-05
"Mus musculus",1.03922694439752,5.10540678375325,"George",4.33052977617208
"Drosophila melanogaster",0.00279616203619199,0.513268347528629,"George",3.15180277877055e-06
"Drosophila melanogaster",0.00296065866714295,0.493166025376839,"Terry",3.39515583437072e-06
"Giraffa camelopardalis",28.3391413697016,154.64257644392,"George",97542.1521276836
"Giraffa camelopardalis",26.5115961718527,184.297410315953,"Flora",101737.454172022
"Felis catus",5.17130582859657,22.0000035948306,"George",462.075644736653
"Felis catus",4.30085006280545,20.7185416417583,"Flora",300.993882291982
"Giraffa camelopardalis",18.844120914359,179.574421630534,"George",50082.5141277769
"Mus musculus",1.06758890981113,6.12334434998538,"Flora",5.48133911674204
"Felis catus",3.71924890631679,22.9281226536086,"Terry",249.097211349783
"Mus musculus",1.06770573360782,5.85868866540652,"Terry",5.24557923040526
"Mus musculus",0.952912792079254,6.44636072891781,"Terry",4.59738420894824
"Drosophila melanogaster",0.00311453707741952,0.491562632400375,"Terry",3.74503390067125e-06
